strategy_id,source_file,file_exists,is_sharpe,deflated_sharpe,max_drawdown,turnover,num_trials,is_sharpe_for_gate,is_sharpe_is,is_ref_from_notes,screen_batch,screened_at,n_oos_rows,oos_batches,first_oos_at,last_oos_at
CAND-e2e7f033d97c,scripts/backtest/translated/c4_e2e7f033d97c_kd_cross.py,True,-0.048,0.0001,-0.4573,0.0865,51,0.019,0.019,0.019,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-6a6ec8869ddb,scripts/backtest/translated/c4_6a6ec8869ddb_momentum62.py,True,-0.062,0.0001,-0.3643,0.2549,51,0.727,0.727,0.727,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-751983843b3f,scripts/backtest/translated/c4_backlog3_growth_peg4.py,True,-0.11,0.0001,-0.0725,0.0491,14,-1.143,-1.143,-1.236,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
CAND-bd42540f86e4,scripts/backtest/translated/c4_bd42540f86e4_pe_pb.py,True,-0.184,0.0,-0.3061,0.0749,51,-0.186,-0.186,,C4-OOS2-20260914,2026-09-14 05:September:09,1,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
VAL-DIV-STEADY-005,scripts/backtest/translated/c4_valuation_v2_div_steady5.py,True,-0.242,0.0,-0.0944,0.0491,6,0.02,0.02,-0.089,C4-OOS3-VAL-20260915,2026-09-15 01:September:54,1,C4-OOS3-VAL-20260915,2026-09-15 01:September:54,2026-09-15 01:September:54
CAND-40ca0da1a3ca,scripts/backtest/translated/c4_40ca0da1a3ca_value55.py,True,-0.27,0.0,-0.1131,0.0682,51,-1.204,-1.204,0.246,C4-OOS2-20260914,2026-09-14 05:September:09,2,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
CAND-2e4d39a3f50b,scripts/backtest/translated/c4_2e4d39a3f50b_multi_ma.py,True,-0.453,0.0,-0.2532,0.0133,51,0.268,0.268,0.268,C4-OOS2-20260914,2026-09-14 05:September:09,3,C4-OOS-2024-2026|C4-OOS2-20260913|C4-OOS2-20260914,2026-09-13 01:September:20,2026-09-14 05:September:09
CAND-4879b2c6f2bb,scripts/backtest/translated/c4_4879b2c6f2bb_div_value.py,True,-0.456,0.0,-0.0896,0.0491,51,0.29,0.29,0.29,C4-OOS2-20260914,2026-09-14 05:September:09,1,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
CAND-21af8c66c15e,scripts/backtest/translated/c4_21af8c66c15e_small_cap.py,True,-0.495,0.0,-0.5855,0.381,51,-1.218,-1.218,-1.218,C4-OOS2-20260914,2026-09-14 05:September:09,1,C4-OOS2-20260914,2026-09-14 05:September:09,2026-09-14 05:September:09
CAND-4da841c734ae,scripts/backtest/translated/c4_backlog3_wiz63_growth_pb2.py,True,-0.509,0.0,-0.2925,0.2105,14,-0.569,-0.569,-0.592,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,1,C4-OOS3-BACKLOG3-20260915,2026-09-15 03:September:16,2026-09-15 03:September:16
