entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-TECH-058,月线20日均线支撑,technical,f_te058_ma250_support,1,kline,指数级口诀映射到个股 close/MA250,10,-0.02137,-0.1542,-4.472,841,0.4614,0.06204,0.5341,5.394,166.0,-0.07574,-0.6699,-7.783,181.0,-0.0233,-0.1656,-4.07,867.0
FCT-TECH-058,月线20日均线支撑,technical,f_te058_ma250_support,1,kline,指数级口诀映射到个股 close/MA250,20,-0.0185,-0.1307,-3.738,818,0.4633,0.06192,0.5313,5.339,166.0,-0.07166,-0.6756,-7.703,181.0,-0.02056,-0.1406,-3.407,867.0
FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,kline,"量/250日最大量（天量=顶部信号,dir=-1）",5,-0.08974,-0.8877,-25.834,847,0.1594,-0.07437,-0.8694,-8.781,166.0,-0.10855,-0.8362,-9.751,181.0,-0.08811,-0.9215,-22.742,867.0
FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,kline,"量/250日最大量（天量=顶部信号,dir=-1）",10,-0.09667,-0.9423,-27.327,841,0.1593,-0.07339,-0.807,-8.151,166.0,-0.11662,-0.8863,-10.298,181.0,-0.09614,-0.9998,-24.572,867.0
FCT-TECH-059,历史天量,technical,f_te059_hist_volspike,-1,kline,"量/250日最大量（天量=顶部信号,dir=-1）",20,-0.11267,-1.0893,-31.155,818,0.1284,-0.09639,-1.0648,-10.701,166.0,-0.12195,-1.0085,-11.498,181.0,-0.11341,-1.1212,-27.164,867.0
FCT-TECH-060,下跌斜率放缓,technical,f_te060_decl_slowdown,1,kline,mom5-mom5.shift(5)（斜率改善）,5,-0.01639,-0.1515,-5.012,1094,0.4314,-0.01589,-0.1716,-2.073,166.0,-0.00063,-0.0053,-0.066,181.0,-0.01959,-0.1809,-5.092,867.0
FCT-TECH-060,下跌斜率放缓,technical,f_te060_decl_slowdown,1,kline,mom5-mom5.shift(5)（斜率改善）,10,-0.01385,-0.1357,-4.485,1093,0.4547,-0.01508,-0.1685,-2.036,166.0,-0.01059,-0.0963,-1.203,181.0,-0.01426,-0.1388,-3.904,867.0
FCT-TECH-060,下跌斜率放缓,technical,f_te060_decl_slowdown,1,kline,mom5-mom5.shift(5)（斜率改善）,20,-0.00916,-0.0905,-2.99,1092,0.467,-0.01652,-0.1542,-1.863,166.0,-0.01098,-0.1146,-1.432,181.0,-0.00744,-0.0735,-2.066,867.0
FCT-TECH-061,均线排列状态,technical,f_te061_ma_align,1,kline,"MA5/10/20/60 排列计分[-3,3]",5,-0.02524,-0.2204,-7.288,1094,0.4214,0.00085,0.0084,0.101,166.0,-0.04847,-0.4266,-5.329,181.0,-0.02548,-0.2196,-6.179,867.0
FCT-TECH-061,均线排列状态,technical,f_te061_ma_align,1,kline,"MA5/10/20/60 排列计分[-3,3]",10,-0.02862,-0.261,-8.631,1094,0.4196,0.00065,0.006,0.073,166.0,-0.06015,-0.5472,-6.835,181.0,-0.02781,-0.2568,-7.226,867.0
FCT-TECH-061,均线排列状态,technical,f_te061_ma_align,1,kline,"MA5/10/20/60 排列计分[-3,3]",20,-0.03654,-0.3352,-11.087,1094,0.3857,0.00144,0.0129,0.155,166.0,-0.06111,-0.563,-7.032,181.0,-0.03871,-0.3623,-10.196,867.0
FCT-TECH-062,乖离率极端±15%,technical,f_te062_bias20,1,kline,"close/MA20-1（极端两端,IC 定号）",5,-0.03129,-0.2387,-7.888,1092,0.4093,-0.02169,-0.1816,-2.194,166.0,-0.04866,-0.3444,-4.301,181.0,-0.02964,-0.2264,-6.363,867.0
FCT-TECH-062,乖离率极端±15%,technical,f_te062_bias20,1,kline,"close/MA20-1（极端两端,IC 定号）",10,-0.03328,-0.2653,-8.766,1092,0.4075,-0.0199,-0.159,-1.921,166.0,-0.05864,-0.4535,-5.665,181.0,-0.03075,-0.2475,-6.956,867.0
FCT-TECH-062,乖离率极端±15%,technical,f_te062_bias20,1,kline,"close/MA20-1（极端两端,IC 定号）",20,-0.03567,-0.3191,-10.545,1092,0.3764,-0.01219,-0.1069,-1.292,166.0,-0.06616,-0.6137,-7.665,181.0,-0.03399,-0.3063,-8.608,867.0
FCT-TECH-063,KDJ钝化,technical,f_te063_kdj_j,1,kline,"KDJ(9,3,3) J 值",5,-0.01098,-0.0917,-3.031,1092,0.4679,-0.00086,-0.0082,-0.099,166.0,-0.00719,-0.0568,-0.709,181.0,-0.0136,-0.1125,-3.161,867.0
FCT-TECH-063,KDJ钝化,technical,f_te063_kdj_j,1,kline,"KDJ(9,3,3) J 值",10,-0.00621,-0.0535,-1.767,1092,0.478,0.01267,0.1171,1.415,166.0,-0.02036,-0.1895,-2.366,181.0,-0.00691,-0.0581,-1.633,867.0
FCT-TECH-063,KDJ钝化,technical,f_te063_kdj_j,1,kline,"KDJ(9,3,3) J 值",20,-0.00237,-0.0222,-0.733,1092,0.4954,0.01009,0.0921,1.112,166.0,-0.00905,-0.1013,-1.265,181.0,-0.00335,-0.0306,-0.861,867.0
FCT-TECH-064,ATR14,technical,f_te064_natr14,1,kline,ATR14/close（高波动代理）,5,-0.09527,-0.6971,-23.045,1093,0.2159,-0.09198,-0.7688,-9.29,166.0,-0.12986,-0.8786,-10.974,181.0,-0.08905,-0.6524,-18.35,867.0
FCT-TECH-064,ATR14,technical,f_te064_natr14,1,kline,ATR14/close（高波动代理）,10,-0.10976,-0.7905,-26.134,1093,0.2068,-0.11663,-1.0344,-12.498,166.0,-0.15026,-0.9423,-11.769,181.0,-0.1005,-0.7309,-20.556,867.0
FCT-TECH-064,ATR14,technical,f_te064_natr14,1,kline,ATR14/close（高波动代理）,20,-0.13032,-0.9542,-31.531,1092,0.1648,-0.12446,-1.1067,-13.372,166.0,-0.15619,-1.1518,-14.386,181.0,-0.1263,-0.8998,-25.29,867.0
FCT-TECH-065,整数关口关键位,technical,f_te065_round_dist,1,kline,"-|价-最近整数关|/价（距离代理,方向存疑）",5,-0.01667,-0.1982,-6.554,1094,0.426,-0.02034,-0.2364,-2.856,166.0,-0.02936,-0.3807,-4.754,181.0,-0.0135,-0.1589,-4.472,867.0
