entry_id,name,factor_class,factor_key,dir,needs,proxy_note,horizon,ic_mean_overall,ic_ir_overall,ic_t_overall,n_days_overall,pct_pos_overall,ic_mean_risk_on,ic_ir_risk_on,ic_t_risk_on,ndays_risk_on,ic_mean_risk_off,ic_ir_risk_off,ic_t_risk_off,ndays_risk_off,ic_mean_neutral,ic_ir_neutral,ic_t_neutral,ndays_neutral
FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,kline,MA20 5日斜率（趋势方向代理）,5,-0.03233,-0.2519,-8.331,1094,0.4104,-0.01935,-0.1563,-1.888,166.0,-0.05176,-0.3887,-4.855,181.0,-0.0309,-0.2415,-6.795,867.0
FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,kline,MA20 5日斜率（趋势方向代理）,10,-0.03932,-0.3154,-10.431,1094,0.3848,-0.02352,-0.1988,-2.402,166.0,-0.05434,-0.4347,-5.43,181.0,-0.03927,-0.3128,-8.803,867.0
FCT-TECH-055,20日均线趋势判定,technical,f_te055_ma20_slope,1,kline,MA20 5日斜率（趋势方向代理）,20,-0.05174,-0.4066,-13.448,1094,0.3556,-0.02533,-0.2012,-2.431,166.0,-0.07338,-0.5363,-6.698,181.0,-0.05234,-0.4193,-11.801,867.0
FCT-TECH-056,放量突破20日线,technical,f_te056_vol_break20,1,kline,5日量比×sign(价/MA20-1),5,-0.02286,-0.2507,-8.293,1094,0.4049,-0.01855,-0.2351,-2.841,166.0,-0.0267,-0.2574,-3.215,181.0,-0.02289,-0.2524,-7.102,867.0
FCT-TECH-056,放量突破20日线,technical,f_te056_vol_break20,1,kline,5日量比×sign(价/MA20-1),10,-0.02307,-0.2583,-8.544,1094,0.3958,-0.00622,-0.0718,-0.868,166.0,-0.02666,-0.2691,-3.361,181.0,-0.02546,-0.291,-8.189,867.0
FCT-TECH-056,放量突破20日线,technical,f_te056_vol_break20,1,kline,5日量比×sign(价/MA20-1),20,-0.02729,-0.3059,-10.118,1094,0.3803,-0.00932,-0.1125,-1.36,166.0,-0.0307,-0.2912,-3.638,181.0,-0.02993,-0.3458,-9.731,867.0
FCT-TECH-057,红多绿少,technical,f_te057_red_green,1,kline,10日红绿差×(红量/绿量)（绿缩量代理）,5,-0.02113,-0.2682,-8.872,1094,0.394,-0.00968,-0.1629,-1.969,166.0,-0.01201,-0.134,-1.673,181.0,-0.02504,-0.3155,-8.88,867.0
FCT-TECH-057,红多绿少,technical,f_te057_red_green,1,kline,10日红绿差×(红量/绿量)（绿缩量代理）,10,-0.02403,-0.2985,-9.873,1094,0.3665,-0.01156,-0.1658,-2.003,166.0,-0.01086,-0.1267,-1.583,181.0,-0.02892,-0.3577,-10.068,867.0
FCT-TECH-057,红多绿少,technical,f_te057_red_green,1,kline,10日红绿差×(红量/绿量)（绿缩量代理）,20,-0.02798,-0.3525,-11.659,1094,0.3464,-0.00812,-0.1201,-1.451,166.0,-0.01016,-0.1371,-1.712,181.0,-0.03516,-0.4325,-12.171,867.0
FCT-TECH-058,月线20日均线支撑,technical,f_te058_ma250_support,1,kline,指数级口诀映射到个股 close/MA250,5,-0.03733,-0.2582,-8.02,965,0.3979,-0.00399,-0.0343,-0.374,166.0,-0.06447,-0.4511,-5.261,181.0,-0.03772,-0.2545,-6.782,867.0
