因子ID,THS代码,因子名称,类别,频度,数据来源
FAC_0225,ths_doctor_num_ratio_new_stock,Doctor Num Ratio New,员工信息,年频,THS_BD
FAC_0226,ths_postgraduate_num_ratio_new_stock,Postgraduate Num Ratio New,员工信息,年频,THS_BD
FAC_0227,ths_undergraduate_num_ratio_new_stock,Undergraduate Num Ratio New,员工信息,年频,THS_BD
FAC_0228,ths_junior_college_ratio_new_stock,Junior College Ratio New,其他,年频,THS_BD
FAC_0229,ths_highschool_num_ratio_new_stock,Highschool Num Ratio New,员工信息,年频,THS_BD
FAC_0230,ths_other_edu_num_ratio_new_stock,Other Edu Num Ratio New,员工信息,年频,THS_BD
FAC_0231,ths_int_litigation_num_stock,Int Litigation Num,员工信息,年频,THS_BD
FAC_0232,ths_int_litigation_amt_stock,Int Litigation Amt,处罚诉讼,年频,THS_BD
FAC_0233,ths_litigationinfo_stock,Litigationinfo,处罚诉讼,年频,THS_BD
FAC_0234,ths_illegleaction_stock,Illegleaction,处罚诉讼,年频,THS_BD
FAC_0235,ths_illegletype_stock,Illegletype,处罚诉讼,年频,THS_BD
FAC_0236,ths_illeglesubject_stock,Illeglesubject,处罚诉讼,年频,THS_BD
FAC_0237,ths_illeglesubjecttype_stock,Illeglesubjecttype,处罚诉讼,年频,THS_BD
FAC_0238,ths_processing_unit_stock,Processing Unit,其他,年频,THS_BD
FAC_0239,ths_punishmenttype_stock,Punishmenttype,处罚诉讼,年频,THS_BD
FAC_0240,ths_disciplinary_measures_stock,Disciplinary Measures,其他,年频,THS_BD
FAC_0241,ths_punish_amt_stock,Punish Amt,处罚诉讼,年频,THS_BD
FAC_0242,ths_int_illegality_num_stock,Int Illegality Num,员工信息,年频,THS_BD
FAC_0243,ths_int_illegality_amt_stock,Int Illegality Amt,处罚诉讼,年频,THS_BD
FAC_0244,ths_total_shares_stock,Total Shares,股份变动,年频,THS_BD
FAC_0245,ths_depository_receipt_ratio_stock,Depository Receipt Ratio,其他,年频,THS_BD
FAC_0246,ths_total_shares_before_listed_stock,Total Shares Before Listed,股份变动,年频,THS_BD
FAC_0247,ths_total_ashare_stock,Total Ashare,股份变动,年频,THS_BD
FAC_0248,ths_float_ashare_stock,Float Ashare,股份变动,年频,THS_BD
FAC_0249,ths_float_ashare_exright_stock,Float Ashare Exright,股份变动,年频,THS_BD
FAC_0250,ths_limited_ashare_stock,Limited Ashare,股份变动,年频,THS_BD
FAC_0251,ths_total_bshare_stock,Total Bshare,股份变动,年频,THS_BD
FAC_0252,ths_float_bshare_stock,Float Bshare,股份变动,年频,THS_BD
FAC_0253,ths_limited_bshare_stock,Limited Bshare,股份变动,年频,THS_BD
FAC_0254,ths_neeq_ashare_stock,Neeq Ashare,股份变动,年频,THS_BD
