factor,h,window,grp,n_days,ic_mean,ic_std,ic_ir,t_stat,avg_n,pos_share,avg_base_width,prior_coverage
ad,10,OOS,total,649,0.001617345861721777,0.08000636093633229,0.02021521592525416,0.5149922967706579,5139.269645608629,0.5531587057010786,5348.050847457627,l1_pending
ad,10,OOS,LOW,167,-0.02584692276672561,0.09285915808955833,-0.27834543515672905,-3.5970157453814875,4928.934131736527,0.40718562874251496,5329.209580838324,l1_pending
ad,10,OOS,MID,244,0.02136682961837238,0.07173366910102712,0.29786333093153383,4.652773967744977,5224.3442622950815,0.6680327868852459,5357.377049180328,l1_pending
ad,10,OOS,HIGH,238,0.0006411224345283624,0.07246993330871261,0.008846736919120144,0.1364808099317899,5199.638655462185,0.5378151260504201,5351.710084033613,l1_pending
ad,20,IS,total,727,-0.015232984849478043,0.07211840113386357,-0.21122188803386152,-5.695162571059434,4358.66712517194,0.42916093535075656,4636.7716643741405,l1_pending
ad,20,IS,LOW,282,-0.01452758919171953,0.07092374066115781,-0.2048339393310614,-3.4397467700297972,4485.812056737589,0.4148936170212766,4732.301418439716,l1_pending
ad,20,IS,MID,282,-0.032126694298152965,0.07202417738954257,-0.4460543037429754,-7.490525523106627,4261.741134751773,0.375886524822695,4583.531914893617,l1_pending
ad,20,IS,HIGH,163,0.012773791156892693,0.06556185676972046,0.19483571372542685,2.4874958735427333,4306.386503067484,0.5460122699386503,4563.60736196319,l1_pending
ad,20,OOS,total,639,0.0035721250111659304,0.09104591564004899,0.03923432463778348,0.9917828869421607,4924.953051643192,0.5758998435054773,5346.245696400626,l1_pending
ad,20,OOS,LOW,167,-0.04018391839765381,0.10589987711118794,-0.379451983267774,-4.903600296738761,4601.652694610779,0.3592814371257485,5329.209580838324,l1_pending
ad,20,OOS,MID,236,0.019907495399673587,0.07532134677548885,0.26430084234967377,4.060266582744576,5067.902542372882,0.6652542372881356,5353.771186440678,l1_pending
ad,20,OOS,HIGH,236,0.01819971754330614,0.08405980409628339,0.21650915962711387,3.326076821688823,5010.779661016949,0.6398305084745762,5350.775423728814,l1_pending
adosc,5,IS,total,726,-0.1012887754302036,0.12815554260101267,-0.7903581333625693,-21.2957155487656,4566.396694214876,0.22451790633608815,4637.772727272727,l1_pending
