col,prior_coverage,norm_class,window,bucket,horizon,ic_mean,ic_std,ic_ir,ic_t,n_days,pct_pos,median_xsec_n
garman_klass_20,none,PX2,OOS,vol_low,20,-0.00895,0.18025,-0.0497,-0.636,164,0.4939,4581
garman_klass_20,none,PX2,OOS,vol_mid,5,0.01505,0.14725,0.1022,1.594,243,0.5597,4581
garman_klass_20,none,PX2,OOS,vol_mid,10,0.02509,0.15238,0.1646,2.566,243,0.6049,4581
garman_klass_20,none,PX2,OOS,vol_mid,20,-0.00703,0.16985,-0.0414,-0.64,239,0.4561,4581
gmma_l30,none,PX,IS,overall,5,0.04727,0.13487,0.3505,9.444,726,0.6267,4581
gmma_l30,none,PX,IS,overall,10,0.05233,0.13559,0.386,10.4,726,0.6488,4581
gmma_l30,none,PX,IS,overall,20,0.0634,0.13514,0.4692,12.641,726,0.6556,4581
gmma_l30,none,PX,IS,vol_high,5,0.05945,0.14416,0.4124,5.265,163,0.638,4581
gmma_l30,none,PX,IS,vol_high,10,0.06053,0.13581,0.4457,5.69,163,0.6564,4581
gmma_l30,none,PX,IS,vol_high,20,0.08862,0.11486,0.7715,9.85,163,0.7301,4581
gmma_l30,none,PX,IS,vol_low,5,0.04852,0.12544,0.3868,6.391,273,0.641,4581
gmma_l30,none,PX,IS,vol_low,10,0.05194,0.1304,0.3983,6.581,273,0.6557,4581
gmma_l30,none,PX,IS,vol_low,20,0.06455,0.13481,0.4788,7.911,273,0.696,4581
gmma_l30,none,PX,IS,vol_mid,5,0.03926,0.13793,0.2846,4.847,290,0.6069,4581
gmma_l30,none,PX,IS,vol_mid,10,0.0481,0.14043,0.3425,5.833,290,0.6379,4581
gmma_l30,none,PX,IS,vol_mid,20,0.04815,0.14395,0.3345,5.697,290,0.5759,4581
gmma_l30,none,PX,OOS,overall,5,0.06684,0.1701,0.3929,10.049,654,0.659,4581
gmma_l30,none,PX,OOS,overall,10,0.07635,0.16322,0.4677,11.916,649,0.6733,4581
gmma_l30,none,PX,OOS,overall,20,0.09231,0.15975,0.5779,14.608,639,0.7261,4581
gmma_l30,none,PX,OOS,vol_high,5,0.082,0.22788,0.3599,5.552,238,0.605,4581
gmma_l30,none,PX,OOS,vol_high,10,0.09973,0.21448,0.465,7.174,238,0.6471,4581
gmma_l30,none,PX,OOS,vol_high,20,0.13895,0.19916,0.6977,10.718,236,0.7754,4581
gmma_l30,none,PX,OOS,vol_low,5,0.05343,0.11616,0.46,5.89,164,0.6646,4581
gmma_l30,none,PX,OOS,vol_low,10,0.05951,0.10516,0.5659,7.248,164,0.7012,4581
gmma_l30,none,PX,OOS,vol_low,20,0.06631,0.1095,0.6056,7.755,164,0.7378,4581
gmma_l30,none,PX,OOS,vol_mid,5,0.06125,0.13083,0.4681,7.432,252,0.7063,4581
gmma_l30,none,PX,OOS,vol_mid,10,0.06499,0.13299,0.4887,7.68,247,0.6802,4581
gmma_l30,none,PX,OOS,vol_mid,20,0.06411,0.13271,0.4831,7.468,239,0.6695,4581
gmma_l35,none,PX,IS,overall,5,0.04875,0.13641,0.3574,9.629,726,0.6253,4581
gmma_l35,none,PX,IS,overall,10,0.05473,0.13688,0.3998,10.773,726,0.6543,4581
gmma_l35,none,PX,IS,overall,20,0.06678,0.13727,0.4865,13.109,726,0.6653,4581
gmma_l35,none,PX,IS,vol_high,5,0.05965,0.14581,0.4091,5.223,163,0.6442,4581
gmma_l35,none,PX,IS,vol_high,10,0.06268,0.13579,0.4616,5.894,163,0.6626,4581
gmma_l35,none,PX,IS,vol_high,20,0.0927,0.11571,0.8011,10.228,163,0.7607,4581
gmma_l35,none,PX,IS,vol_low,5,0.0504,0.12573,0.4009,6.623,273,0.641,4581
gmma_l35,none,PX,IS,vol_low,10,0.05467,0.13153,0.4157,6.868,273,0.663,4581
gmma_l35,none,PX,IS,vol_low,20,0.06893,0.13633,0.5057,8.355,273,0.6996,4581
gmma_l35,none,PX,IS,vol_mid,5,0.04106,0.14055,0.2921,4.975,290,0.6,4581
gmma_l35,none,PX,IS,vol_mid,10,0.05031,0.14258,0.3528,6.009,290,0.6414,4581
gmma_l35,none,PX,IS,vol_mid,20,0.05019,0.14702,0.3414,5.814,290,0.5793,4581
