panel,signal,horizon,period,bucket,n_days,ic_mean,ic_ir,t_stat,ic_pos_rate
raw_469_pre_triage,S1_mom5,5,IS,ALL,609,0.069011627330457,0.2302683693109641,5.682545630280897,0.5878489326765188
raw_469_pre_triage,S1_mom5,5,IS,LOW,248,0.0632822271851327,0.223198767172854,3.514937700377564,0.5766129032258065
raw_469_pre_triage,S1_mom5,5,IS,MID,192,0.1046102041575373,0.3674009202996304,5.090856485652188,0.6354166666666666
raw_469_pre_triage,S1_mom5,5,IS,HIGH,169,0.0369759142253741,0.1103984840322778,1.4351802924196118,0.5502958579881657
raw_469_pre_triage,S1_mom5,5,OOS,ALL,412,0.0649456296487384,0.2223710881761258,4.513640122222124,0.6092233009708737
raw_469_pre_triage,S1_mom5,5,OOS,LOW,92,0.0524688400306628,0.2200153909259467,2.1103134948332536,0.6304347826086957
raw_469_pre_triage,S1_mom5,5,OOS,MID,194,0.0576989608750185,0.2081589282152145,2.8993183755440053,0.5927835051546392
raw_469_pre_triage,S1_mom5,5,OOS,HIGH,126,0.0852132358944893,0.2461738958027337,2.7632951269836523,0.6190476190476191
raw_469_pre_triage,S1_mom5,10,ALL,ALL,1016,0.0605918978258016,0.2052276927268853,6.541582404570996,0.5649606299212598
raw_469_pre_triage,S1_mom5,10,IS,ALL,609,0.0580435409817571,0.2001051752757729,4.938180579306312,0.5763546798029556
raw_469_pre_triage,S1_mom5,10,IS,LOW,248,0.0521226846143735,0.1993295882423043,3.139045494686873,0.5887096774193549
raw_469_pre_triage,S1_mom5,10,IS,MID,192,0.0767349169373698,0.2568530235120275,3.559059894404121,0.6145833333333334
raw_469_pre_triage,S1_mom5,10,IS,HIGH,169,0.045496962257695,0.1425346958441506,1.8529510459739575,0.514792899408284
raw_469_pre_triage,S1_mom5,10,OOS,ALL,407,0.0644050411133277,0.2124569389646103,4.286157489183563,0.547911547911548
raw_469_pre_triage,S1_mom5,10,OOS,LOW,92,0.0726213310396717,0.3074056611296369,2.948531520180601,0.6413043478260869
raw_469_pre_triage,S1_mom5,10,OOS,MID,189,0.0561442764615448,0.1854928252303197,2.550104737467464,0.5291005291005291
