399050.SZ	创新引擎	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2018-07-31	399050	0.0
399060.SZ	碳科技60	SZSE	深圳证券交易所	主题指数	2014-12-31	1000.0	2021-09-26	399060	0.0
399088.SZ	深创100	SZSE	深圳证券交易所	规模指数	2012-12-31	1000.0	2020-02-18	399088	0.0
399100.SZ	新指数	SZSE	深圳证券交易所	综合指数	2005-12-30	1107.23	2006-02-16	399100	0.0
399101.SZ	中小综指	SZSE	深圳证券交易所	综合指数	2005-06-07	1000.0	2005-12-01	399101	0.0
399102.SZ	创业板综	SZSE	深圳证券交易所	综合指数	2010-05-31	1000.0	2010-08-20	399102	0.0
399106.SZ	深证综指	SZSE	深圳证券交易所	综合指数	1991-04-03	100.0	1991-04-04	399106	0.0
399107.SZ	深证A指	SZSE	深圳证券交易所	综合指数	1991-04-03	100.0	1992-10-04	399107	0.0
399108.SZ	深证B指	SZSE	深圳证券交易所	综合指数	1992-02-28	100.0	1992-10-06	399108	0.0
399231.SZ	农林指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399231	0.0
399232.SZ	采矿指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399232	0.0
399233.SZ	制造指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399233	0.0
399234.SZ	水电指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399234	0.0
399235.SZ	建筑指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399235	0.0
399236.SZ	批零指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399236	0.0
399237.SZ	运输指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399237	0.0
399238.SZ	餐饮指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399238	0.0
399239.SZ	IT指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399239	0.0
399240.SZ	金融指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399240	0.0
399241.SZ	地产指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399241	0.0
399242.SZ	商务指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399242	0.0
399243.SZ	科研指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399243	0.0
399244.SZ	公共指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399244	0.0
399248.SZ	文化指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399248	0.0
399249.SZ	综企指数	SZSE	深圳证券交易所	行业指数	1991-04-03	100.0	2013-03-04	399249	0.0
399258.SZ	绿色低碳	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2023-08-08	399258	0.0
399259.SZ	创业低碳	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2023-08-08	399259	0.0
399260.SZ	先进制造	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2023-08-08	399260	0.0
399261.SZ	创业制造	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2023-08-08	399261	0.0
399262.SZ	数字经济	SZSE	深圳证券交易所	主题指数	2014-12-31	1000.0	2022-09-29	399262	0.0
399263.SZ	创业数字	SZSE	深圳证券交易所	主题指数	2014-12-31	1000.0	2022-09-29	399263	0.0
399264.SZ	创新技术	SZSE	深圳证券交易所	主题指数	2017-12-29	1000.0	2022-09-29	399264	0.0
399265.SZ	创新药械	SZSE	深圳证券交易所	主题指数	2017-12-29	1000.0	2022-09-29	399265	0.0
399266.SZ	创新能源	SZSE	深圳证券交易所	主题指数	2017-12-29	1000.0	2022-09-29	399266	0.0
399269.SZ	创质量	SZSE	深圳证券交易所	策略指数	2012-12-31	1000.0	2021-01-12	399269	0.0
399274.SZ	深新基建	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2022-04-11	399274	0.0
399275.SZ	创医药	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2020-10-26	399275	0.0
399276.SZ	创科技	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2020-10-26	399276	0.0
399277.SZ	公共健康	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2020-05-08	399277	0.0
399278.SZ	长江100	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2020-05-08	399278	0.0
399279.SZ	云科技50	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2020-05-08	399279	0.0
399280.SZ	生物50	SZSE	深圳证券交易所	主题指数	2012-12-31	1000.0	2020-05-08	399280	0.0
