880716.TDX	2025-12-19	光刻机	概念板块	115	593.14	520.92	14966.91	12361.77
880717.TDX	2025-12-19	C2M概念	概念板块	37	288.55	271.29	2860.41	2670.52
880718.TDX	2025-12-19	小红书概念	概念板块	74	520.12	478.37	5589.11	4970.93
880719.TDX	2025-12-19	地摊经济	概念板块	26	453.68	447.94	6311.29	6139.03
880720.TDX	2025-12-19	抖音概念	概念板块	229	2161.32	1959.84	41408.0	37932.31
880721.TDX	2025-12-19	北上重仓	风格板块	200	28861.41	27525.76	450413.0	433760.56
880722.TDX	2025-12-19	华为鸿蒙	概念板块	261	1991.21	1787.28	33839.84	29222.38
880723.TDX	2025-12-19	发可转债	风格板块	67	529.41	490.47	9496.56	8349.81
880724.TDX	2025-12-19	地下管网	概念板块	92	1358.62	1330.94	8100.43	7756.05
880725.TDX	2025-12-19	MiniLED	概念板块	93	1364.27	1258.43	18620.1	16532.7
880726.TDX	2025-12-19	MCU芯片	概念板块	84	794.57	651.1	28256.96	25117.25
880727.TDX	2025-12-19	盐湖提锂	概念板块	44	711.32	665.45	19706.9	17196.32
880728.TDX	2025-12-19	航运概念	概念板块	86	2427.44	2350.98	17959.81	17291.47
880729.TDX	2025-12-19	CXO概念	概念板块	75	403.54	366.27	9127.08	8314.38
880730.TDX	2025-12-19	储能	概念板块	801	11152.76	10042.79	165398.08	147080.77
880731.TDX	2025-12-19	新材料	概念板块	396	3247.51	2998.01	52804.88	48052.84
880732.TDX	2025-12-19	AI智能体	概念板块	355	3793.74	3506.59	52827.57	47555.77
880733.TDX	2025-12-19	人脑工程	概念板块	58	592.85	552.61	13528.66	12611.3
880734.TDX	2025-12-19	工业气体	概念板块	29	372.84	348.92	4951.12	4318.03
880735.TDX	2025-12-19	专精特新	风格板块	1122	3484.17	2883.37	93546.01	73751.67
880736.TDX	2025-12-19	工业母机	概念板块	112	947.43	872.07	17582.57	15409.93
880737.TDX	2025-12-19	HJT电池	概念板块	57	596.28	553.05	8374.82	7450.23
880738.TDX	2025-12-19	数字孪生	概念板块	192	1854.61	1723.97	24027.7	21312.45
880739.TDX	2025-12-19	边缘计算	概念板块	156	1172.29	1054.72	28710.04	26667.71
880740.TDX	2025-12-19	新型烟草	概念板块	55	351.71	336.78	8050.21	7547.86
880741.TDX	2025-12-19	代糖概念	概念板块	24	246.41	239.47	2339.17	2270.63
880742.TDX	2025-12-19	固态电池	概念板块	272	2628.03	2468.68	65318.98	60038.89
880743.TDX	2025-12-19	物业管理概念	概念板块	185	3283.58	3090.36	17594.87	16714.72
880744.TDX	2025-12-19	汽车拆解	概念板块	25	545.31	508.04	2827.32	2579.39
880745.TDX	2025-12-19	NMN概念	概念板块	28	252.35	226.87	2544.19	2274.41
880746.TDX	2025-12-19	国资云	概念板块	51	1618.66	1603.94	15571.57	15424.15
880747.TDX	2025-12-19	AI医疗概念	概念板块	95	950.5	886.47	20709.77	19714.8
880748.TDX	2025-12-19	元宇宙概念	概念板块	177	1961.05	1841.5	27262.55	25374.65
880749.TDX	2025-12-19	云游戏	概念板块	27	382.33	357.84	5736.08	5313.0
880750.TDX	2025-12-19	天然气	概念板块	139	4739.18	4631.02	38072.04	36839.76
880753.TDX	2025-12-19	绿色电力	概念板块	359	9536.37	8613.92	77873.4	71088.16
880754.TDX	2025-12-19	培育钻石	概念板块	18	153.78	148.43	2297.18	2194.6
880755.TDX	2025-12-19	钠电池	概念板块	132	1608.97	1521.24	44104.96	40042.69
880756.TDX	2025-12-19	机构吸筹	风格板块	79	158.96	106.44	4691.4	2470.32
880757.TDX	2025-12-19	冷链物流	概念板块	145	1979.27	1711.37	19782.67	17733.95
880758.TDX	2025-12-19	汽车芯片	概念板块	118	826.51	725.76	31319.54	28572.58
880759.TDX	2025-12-19	换电概念	概念板块	91	894.5	816.95	15693.64	14330.11
880760.TDX	2025-12-19	预制菜	概念板块	110	1351.72	1226.54	14986.47	12980.18
880761.TDX	2025-12-19	锂矿	概念板块	51	882.46	829.76	23153.08	20511.13
880762.TDX	2025-12-19	信创	概念板块	287	1885.58	1727.71	43275.48	36712.95
880763.TDX	2025-12-19	自由现金流	风格板块	153	4012.47	3856.95	57886.17	55299.24
880764.TDX	2025-12-19	鸡肉	概念板块	22	268.24	251.76	3115.13	2884.88
880765.TDX	2025-12-19	海洋经济	概念板块	61	660.06	613.44	9688.23	8695.21
880766.TDX	2025-12-19	幽门螺杆菌	概念板块	74	501.9	454.02	6763.95	6122.33
880767.TDX	2025-12-19	电子纸	概念板块	22	604.62	575.35	3528.43	3315.63
880769.TDX	2025-12-19	股权集中	风格板块	82	3254.08	2946.51	40622.91	32855.63
880771.TDX	2025-12-19	MSCI中盘	风格板块	152	4311.65	4004.02	54741.38	51232.32
880778.TDX	2025-12-19	次新预增	风格板块	4	6.06	1.43	284.95	62.06
880779.TDX	2025-12-19	高融资盘	风格板块	93	471.32	321.72	8874.67	5403.1
880780.TDX	2025-12-19	融资增加	风格板块	50	225.52	169.91	8490.68	3621.0
880781.TDX	2025-12-19	QFII新进	风格板块	295	2316.4	1739.19	34763.06	26637.91
880782.TDX	2025-12-19	保险新进	风格板块	158	4848.83	4734.12	49909.67	47175.31
880783.TDX	2025-12-19	社保新进	风格板块	218	2843.03	2503.6	51407.74	44045.34
