trade_date,news_count,sentiment_index,quintile_tier,window
2011-07-20,1378,0.008041,3,exam
2011-07-21,1449,0.002181,1,exam
2011-07-22,1217,0.004043,2,exam
2011-07-25,3773,0.00318,1,exam
2011-07-26,1279,0.004722,2,exam
2011-07-27,1385,0.007047,3,exam
2011-07-28,1345,0.005442,2,exam
2011-07-29,1395,0.007484,3,exam
2011-08-01,3817,0.003385,2,exam
2011-08-02,1406,0.005917,2,exam
2011-08-03,1398,0.00784,3,exam
2011-08-04,1738,0.006168,2,exam
2011-08-05,2865,-7e-05,1,exam
2011-08-08,3982,0.001627,1,exam
2011-08-09,1410,0.00173,1,exam
2011-08-10,1368,0.007807,3,exam
2011-08-11,1270,0.010047,4,exam
2011-08-12,1341,0.008471,3,exam
2011-08-15,3814,0.003262,2,exam
2011-08-16,1326,0.013213,4,exam
2011-08-17,1251,0.005276,2,exam
2011-08-18,1332,0.003784,2,exam
2011-08-19,1356,0.00177,1,exam
2011-08-22,3744,0.001955,1,exam
2011-08-23,1270,0.002709,1,exam
2011-08-24,1501,0.006875,3,exam
2011-08-25,1390,0.003683,2,exam
2011-08-26,1464,0.006093,2,exam
2011-08-29,4075,0.002287,1,exam
2011-08-30,1196,0.006756,3,exam
2011-08-31,1121,0.002355,1,exam
2011-09-01,1133,0.007661,3,exam
2011-09-02,1112,0.001511,1,exam
2011-09-05,3689,0.002158,1,exam
2011-09-06,1184,0.006351,2,exam
2011-09-07,2733,0.002342,1,exam
2011-09-08,1814,0.006902,3,exam
2011-09-09,1150,0.00807,3,exam
2011-09-13,3510,0.001048,1,exam
2011-09-14,1080,0.003963,2,exam
2011-09-15,1089,0.006758,3,exam
2011-09-16,1089,0.002571,1,exam
2011-09-19,3701,0.002572,1,exam
2011-09-20,1135,0.002079,1,exam
2011-09-21,1159,0.009974,4,exam
2011-09-22,1002,0.007345,3,exam
2011-09-23,1005,-0.000557,1,exam
2011-09-26,5058,0.004207,2,exam
2011-09-27,1385,0.00491,2,exam
2011-09-28,1172,0.006962,3,exam
2011-09-29,1267,0.001042,1,exam
2011-09-30,1188,0.00367,2,exam
2011-10-10,7068,0.003605,2,exam
2011-10-11,1255,0.010741,4,exam
2011-10-12,1170,0.013607,4,exam
2011-10-13,1167,0.016007,5,exam
2011-10-14,1245,0.009735,3,exam
2011-10-17,4244,0.006371,2,exam
2011-10-18,1103,0.008667,3,exam
2011-10-19,1212,0.005248,2,exam
2011-10-20,1278,0.003537,2,exam
2011-10-21,1233,-0.001135,1,exam
2011-10-24,4110,0.00217,1,exam
2011-10-25,1619,0.011242,4,exam
2011-10-26,1960,0.007061,3,exam
2011-10-27,1454,0.009491,3,exam
2011-10-28,1371,0.009832,4,exam
2011-10-31,3954,0.003824,2,exam
2011-11-01,1038,0.009056,3,exam
2011-11-02,1355,0.005609,2,exam
2011-11-03,3055,0.004543,2,exam
2011-11-04,1147,0.015623,5,exam
2011-11-07,3684,0.005168,2,exam
2011-11-08,1159,0.011044,4,exam
2011-11-09,1177,0.010331,4,exam
2011-11-10,1139,0.008885,3,exam
2011-11-11,1089,0.008779,3,exam
2011-11-14,3693,0.004701,2,exam
2011-11-15,1240,0.012129,4,exam
2011-11-16,1209,0.004963,2,exam
2011-11-17,1072,0.006791,3,exam
2011-11-18,1142,0.005569,2,exam
2011-11-21,3690,0.002818,1,exam
2011-11-22,1028,0.001673,1,exam
2011-11-23,969,0.003261,2,exam
2011-11-24,1138,0.001863,1,exam
2011-11-25,1105,0.008326,3,exam
2011-11-28,3728,0.002264,1,exam
2011-11-29,1113,0.008158,3,exam
2011-11-30,1213,0.008508,3,exam
2011-12-01,1144,0.007448,3,exam
2011-12-02,1240,0.010161,4,exam
2011-12-05,5818,0.001657,1,exam
2011-12-06,1240,0.005581,2,exam
2011-12-07,1154,0.006967,3,exam
2011-12-08,1130,0.006478,2,exam
2011-12-09,1099,0.001638,1,exam
2011-12-12,3772,0.000774,1,exam
2011-12-13,1152,0.001944,1,exam
2011-12-14,1168,0.003699,2,exam
2011-12-15,1111,0.004716,2,exam
2011-12-16,1233,0.002725,1,exam
2011-12-19,3469,0.002813,1,exam
2011-12-20,1129,0.006094,2,exam
2011-12-21,1160,0.008172,3,exam
2011-12-22,1134,0.007725,3,exam
2011-12-23,1097,0.003683,2,exam
2011-12-26,3710,0.003935,2,exam
2011-12-27,1167,0.008466,3,exam
2011-12-28,1112,0.007806,3,exam
2011-12-29,1191,0.002385,1,exam
2011-12-30,1169,0.007049,3,exam
2012-01-04,6050,0.003365,2,exam
2012-01-05,1262,0.009097,3,exam
2012-01-06,1154,0.00461,2,exam
2012-01-09,3571,0.004346,2,exam
2012-01-10,1197,0.019148,5,exam
2012-01-11,1134,0.020847,5,exam
2012-01-12,1138,0.015255,5,exam
2012-01-13,1044,0.017471,5,exam
2012-01-16,3685,0.00419,2,exam
2012-01-17,1257,0.007955,3,exam
2012-01-18,1248,0.014455,5,exam
2012-01-19,1202,0.007953,3,exam
2012-01-20,1486,0.007887,3,exam
2012-01-30,3221,0.002807,1,exam
2012-01-31,1123,0.012609,4,exam
2012-02-01,1067,0.013983,5,exam
2012-02-02,1062,0.017853,5,exam
2012-02-03,1066,0.016323,5,exam
2012-02-06,3656,0.006543,2,exam
2012-02-07,1176,0.009762,3,exam
2012-02-08,2399,0.005836,2,exam
2012-02-09,2151,0.009279,3,exam
2012-02-10,1129,0.021754,5,exam
2012-02-13,3798,0.004655,2,exam
2012-02-14,1116,0.006559,2,exam
2012-02-15,1026,0.011462,4,exam
2012-02-16,1172,0.012116,4,exam
2012-02-17,1039,0.007854,3,exam
2012-02-20,3788,0.006822,3,exam
2012-02-21,1119,0.019768,5,exam
2012-02-22,1086,0.016648,5,exam
2012-02-23,1073,0.014129,5,exam
2012-02-24,1092,0.012821,4,exam
2012-02-27,3730,0.005962,2,exam
2012-02-28,1273,0.010463,4,exam
2012-02-29,1323,0.007286,3,exam
2012-03-01,1153,0.009263,3,exam
2012-03-02,2041,0.005977,2,exam
2012-03-05,5170,0.002151,1,exam
2012-03-06,1157,0.006292,2,exam
2012-03-07,1163,0.003061,1,exam
2012-03-08,1098,0.01286,4,exam
2012-03-09,1113,0.013549,4,exam
2012-03-12,3674,0.003767,2,exam
2012-03-13,1147,0.00959,3,exam
2012-03-14,1114,0.014434,5,exam
2012-03-15,1142,0.003187,1,exam
2012-03-16,1145,0.009502,3,exam
2012-03-19,3815,0.004624,2,exam
2012-03-20,1215,0.008132,3,exam
2012-03-21,1153,0.008257,3,exam
2012-03-22,1097,0.008095,3,exam
2012-03-23,1249,0.004131,2,exam
2012-03-26,4080,0.002657,1,exam
2012-03-27,1429,0.00767,3,exam
2012-03-28,1443,0.006819,3,exam
2012-03-29,1477,0.002627,1,exam
2012-03-30,1589,0.002492,1,exam
2012-04-05,6199,0.002078,1,exam
2012-04-06,1432,0.011508,4,exam
2012-04-09,3869,0.003619,2,exam
2012-04-10,1266,0.011848,4,exam
2012-04-11,1105,0.008652,3,exam
2012-04-12,1151,0.010252,4,exam
2012-04-13,1253,0.014302,5,exam
2012-04-16,3991,0.002085,1,exam
2012-04-17,1324,0.009517,3,exam
2012-04-18,1336,0.008024,3,exam
2012-04-19,1278,0.013333,4,exam
2012-04-20,1520,0.008237,3,exam
2012-04-23,5009,0.002715,1,exam
2012-04-24,1937,0.004171,2,exam
2012-04-25,1701,0.007149,3,exam
2012-04-26,1713,0.00864,3,exam
2012-04-27,1470,0.008327,3,exam
2012-05-02,4804,0.001624,1,exam
2012-05-03,2326,0.005021,2,exam
2012-05-04,1545,0.005773,2,exam
2012-05-07,3759,0.004927,2,exam
2012-05-08,1222,0.007594,3,exam
2012-05-09,1131,0.009655,3,exam
2012-05-10,1097,0.005834,2,exam
2012-05-11,1209,0.010389,4,exam
2012-05-14,3783,0.005033,2,exam
2012-05-15,1268,0.011451,4,exam
2012-05-16,1197,0.010125,4,exam
2012-05-17,1172,0.009488,3,exam
2012-05-18,1153,0.010338,4,exam
2012-05-21,3399,0.001659,1,exam
2012-05-22,1671,0.007612,3,exam
2012-05-23,1211,0.0109,4,exam
2012-05-24,1223,0.0052,2,exam
2012-05-25,1192,0.007785,3,exam
2012-05-28,3837,0.003576,2,exam
2012-05-29,1246,0.01451,5,exam
2012-05-30,1172,0.015631,5,exam
2012-05-31,1240,0.005258,2,exam
2012-06-01,1186,0.004958,2,exam
2012-06-04,4858,0.002017,1,exam
2012-06-05,2236,0.003417,2,exam
